protein,gene_id,human_orth_id,human_pident,human_evalue,human_score,dog_orth_id,dog_pident,dog_evalue,dog_score,pig_orth_id,pig_pident,pig_evalue,pig_score,ferret_orth_id,ferret_pident,ferret_evalue,ferret_score
XP_004773591.2,PLCL2,ENSP00000478458,97.4,0.0,2179,,,,,,,,,,,,
XP_004773592.1,DAZL,,,,,,,,,ENSSSCP00000026152,98.6,1.85e-210,582,ENSMPUP00000001414,99.0,1.52e-211,584
XP_004773593.1,DPH3,,,,,,,,,,,,,ENSMPUP00000001506,100,3.66e-58,179
XP_004773596.1,OXNAD1,,,,,,,,,,,,,ENSMPUP00000001501,100,6.09e-226,622
XP_004773598.1,GALNT15,,,,,,,,,,,,,ENSMPUP00000001513,100,0.0,1283
XP_004773599.1,GALNT15,,,,,,,,,,,,,ENSMPUP00000001513,92.4,0.0,1155
XP_004773604.1,ANKRD28,,,,,,,,,ENSSSCP00000011944,98.6,4.39e-295,859,,,,
XP_004773606.1,ANKRD28,,,,,,,,,,,,,ENSMPUP00000001517,100,1.12e-295,859
XP_004773607.1,ANKRD28,ENSP00000382379,99.4,3.45e-280,818,ENSCAFP00000008873,99.8,1.91e-282,824,ENSSSCP00000011944,98.8,5.06e-277,811,ENSMPUP00000001517,100,5.12e-281,821
XP_004773609.1,ANKRD28,ENSP00000382379,99.0,7.96e-278,812,ENSCAFP00000008873,99.7,4.42e-280,818,ENSSSCP00000011944,98.8,4.58e-277,811,ENSMPUP00000001517,100,2.05e-282,825
XP_004773618.1,METTL6,,,,,,,,,,,,,ENSMPUP00000001723,100,5.31e-206,569
XP_004773625.2,EAF1,,,,,ENSCAFP00000009006,97.4,5.36e-150,426,,,,,ENSMPUP00000001682,100,4.14e-154,437
XP_004773627.1,SH3BP5,,,,,,,,,,,,,ENSMPUP00000001729,100,1.05e-272,752
XP_004773628.1,CAPN7,,,,,ENSCAFP00000009031,99.5,0.0,1655,ENSSSCP00000021370,96.9,0.0,1615,ENSMPUP00000001733,100,0.0,1660
XP_004773633.2,LOC101684509,ENSP00000358635,99.5,0.0,953,ENSCAFP00000004514,100,0.0,980,ENSSSCP00000004639,99.5,0.0,953,ENSMPUP00000005275,99.6,0.0,977
XP_004773634.2,LOC101684509,ENSP00000358635,100,0.0,1084,,,,,ENSSSCP00000004639,99.8,0.0,1082,,,,
XP_004773635.2,LOC101684509,ENSP00000358635,100,0.0,894,,,,,ENSSSCP00000004639,99.8,0.0,892,,,,
XP_004773637.1,SNX14,,,,,ENSCAFP00000004486,99.2,0.0,1848,,,,,ENSMPUP00000005283,100,0.0,1896
XP_004773638.1,SNX14,,,,,ENSCAFP00000004486,99.0,0.0,1842,,,,,ENSMPUP00000005283,99.9,0.0,1890
XP_004773639.1,SNX14,,,,,ENSCAFP00000004486,99.0,0.0,1842,,,,,ENSMPUP00000005283,99.9,0.0,1889
XP_004773640.1,SNX14,,,,,ENSCAFP00000004486,98.2,0.0,1823,,,,,ENSMPUP00000005283,99.1,0.0,1871
XP_004773642.1,TBX18,,,,,,,,,ENSSSCP00000004635,91.2,0.0,1076,ENSMPUP00000005307,100,0.0,1107
XP_004773643.1,CEP162,,,,,,,,,,,,,ENSMPUP00000005318,100,0.0,2494
XP_004773645.1,CEP162,,,,,,,,,,,,,ENSMPUP00000005318,99.5,0.0,2473
XP_004773648.1,MRAP2,,,,,,,,,,,,,ENSMPUP00000005341,100,8.46e-146,410
XP_004773650.1,LOC101688264,,,,,,,,,,,,,ENSMPUP00000005352,100,0.0,1053
XP_004773663.1,PRSS35,,,,,,,,,,,,,ENSMPUP00000018736,100,7.46e-298,812
XP_004773664.2,ME1,,,,,,,,,,,,,ENSMPUP00000005397,99.8,0.0,1137
XP_004773666.1,PGM3,,,,,,,,,,,,,ENSMPUP00000005419,100,0.0,1062
XP_004773670.1,RWDD2A,ENSP00000358739,96.9,7.57e-210,580,ENSCAFP00000037753,98.3,1.36e-212,587,ENSSSCP00000021114,97.6,1.36e-212,587,ENSMPUP00000005411,100,1.04e-216,597
XP_004773671.1,DOP1A,,,,,ENSCAFP00000004305,96.5,0.0,4611,,,,,ENSMPUP00000005437,99.2,0.0,4741
XP_004773673.1,DOP1A,,,,,ENSCAFP00000004305,97.7,0.0,4653,,,,,ENSMPUP00000005437,98.8,0.0,4720
XP_004773674.1,DOP1A,,,,,ENSCAFP00000004305,97.3,0.0,4625,,,,,ENSMPUP00000005437,98.4,0.0,4692
XP_004773676.1,UBE3D,,,,,,,,,,,,,ENSMPUP00000005473,100,7.16e-264,723
XP_004773677.1,TPBG,,,,,,,,,,,,,ENSMPUP00000018739,100,4.82e-277,760
XP_004773678.1,TPBG,,,,,,,,,,,,,ENSMPUP00000018739,100,4.82e-277,760
XP_004773680.1,IBTK,,,,,,,,,,,,,ENSMPUP00000005485,100,0.0,2683
XP_004773681.1,IBTK,,,,,,,,,,,,,ENSMPUP00000005485,99.9,0.0,2677
XP_004773684.1,CUNHXorf66,,,,,,,,,,,,,ENSMPUP00000001743,100,7.64e-196,549
XP_004773685.1,ATP11C,ENSP00000332756,96.6,0.0,2149,,,,,ENSSSCP00000013516,96.9,0.0,2152,ENSMPUP00000001745,100,0.0,2213
XP_004773686.1,ATP11C,ENSP00000332756,96.8,0.0,2131,,,,,ENSSSCP00000013516,97.1,0.0,2134,ENSMPUP00000001745,100,0.0,2190
XP_004773687.1,ATP11C,ENSP00000332756,96.8,0.0,2093,,,,,ENSSSCP00000013516,96.9,0.0,2093,ENSMPUP00000001745,100,0.0,2153
XP_004773689.1,ATP11C,,,,,,,,,,,,,ENSMPUP00000001745,100,0.0,2153
XP_004773690.1,ATP11C,ENSP00000332756,96.8,0.0,2093,,,,,ENSSSCP00000013516,96.9,0.0,2093,ENSMPUP00000001745,100,0.0,2153
XP_004773691.1,ATP11C,ENSP00000332756,96.8,0.0,2093,,,,,ENSSSCP00000013516,96.9,0.0,2093,ENSMPUP00000001745,100,0.0,2153
XP_004773699.2,F9,,,,,,,,,,,,,ENSMPUP00000001760,100,0.0,963
XP_004773701.1,FGF13,ENSP00000322390,99.6,8.31e-170,474,ENSCAFP00000037306,99.6,1.44e-170,476,ENSSSCP00000025245,99.2,2.90e-170,476,,,,
XP_004773704.1,LOC101679549,,,,,,,,,,,,,ENSMPUP00000018624,100,2.91e-235,649
XP_004773706.2,ZIC3,,,,,ENSCAFP00000028008,99.6,3.72e-270,747,ENSSSCP00000013508,98.3,4.98e-266,736,ENSMPUP00000001768,99.6,2.78e-269,745
XP_004773707.1,RBMX,ENSP00000359645,100,1.12e-238,661,ENSCAFP00000027996,100,1.16e-238,661,ENSSSCP00000013506,98.7,3.43e-235,652,ENSMPUP00000001838,100,1.16e-238,661
XP_004773708.1,ARHGEF6,,,,,,,,,,,,,ENSMPUP00000001869,100,0.0,1493
XP_004773709.1,ARHGEF6,,,,,,,,,,,,,ENSMPUP00000001869,99.1,0.0,1473
XP_004773710.1,ARHGEF6,,,,,,,,,,,,,ENSMPUP00000001869,93.4,0.0,1388
XP_004773711.1,ARHGEF6,,,,,,,,,,,,,ENSMPUP00000001869,92.5,0.0,1353
XP_004773712.1,CD40LG,,,,,,,,,,,,,ENSMPUP00000001876,100,1.68e-181,505
XP_004773713.1,VGLL1,,,,,,,,,,,,,ENSMPUP00000001879,100,8.03e-151,424
XP_004773714.1,VGLL1,,,,,,,,,,,,,ENSMPUP00000001879,100,8.03e-151,424
XP_004773716.1,VGLL1,,,,,,,,,,,,,ENSMPUP00000001879,99.5,3.01e-148,418
XP_004773718.1,BRS3,,,,,ENSCAFP00000027963,96.7,1.88e-273,749,,,,,ENSMPUP00000001887,100,3.18e-281,769
XP_004773725.1,FHL1,,,,,ENSCAFP00000027932,98.0,2.51e-244,667,ENSSSCP00000013501,96.3,1.15e-240,658,ENSMPUP00000001961,100,1.11e-247,676
XP_004773733.2,SLC9A6,ENSP00000359729,95.9,0.0,1272,ENSCAFP00000027920,97.3,0.0,1289,ENSSSCP00000013498,95.6,0.0,1273,ENSMPUP00000001963,99.0,0.0,1279
XP_004773739.2,LOC101689387,ENSP00000391211,98.8,2.12e-310,846,ENSCAFP00000006249,98.8,2.12e-310,846,ENSSSCP00000016354,98.8,1.04e-309,846,ENSMPUP00000018154,99.1,7.39e-311,847
XP_004773740.2,GPR101,,,,,,,,,,,,,ENSMPUP00000018626,99.8,0.0,879
XP_004773742.1,ADGRG4,,,,,,,,,,,,,ENSMPUP00000001902,98.9,0.0,5399
XP_004773748.1,WASHC1,,,,,,,,,,,,,ENSMPUP00000017915,100,9.36e-311,850
XP_004773749.1,DDX11,,,,,,,,,,,,,ENSMPUP00000017914,99.2,0.0,1766
XP_004773764.1,SLC6A13,,,,,,,,,,,,,ENSMPUP00000017919,100,0.0,1243
XP_004773766.1,KDM5A,ENSP00000382688,98.5,0.0,3254,ENSCAFP00000023208,98.7,0.0,3249,,,,,,,,
XP_004773772.1,CCDC77,,,,,,,,,,,,,ENSMPUP00000017920,100,0.0,931
XP_004773773.1,CCDC77,,,,,,,,,,,,,ENSMPUP00000017920,100,0.0,931
XP_004773774.2,B4GALNT3,,,,,,,,,,,,,ENSMPUP00000017921,99.9,0.0,1999
XP_004773775.2,B4GALNT3,,,,,,,,,,,,,ENSMPUP00000017921,96.7,0.0,1912
XP_004773776.1,NINJ2,,,,,,,,,,,,,ENSMPUP00000017922,100,7.66e-91,266
XP_004773778.1,WNK1,,,,,,,,,,,,,ENSMPUP00000017923,91.8,0.0,4500
XP_004773780.1,WNK1,,,,,,,,,,,,,ENSMPUP00000017923,84.1,0.0,3814
XP_004773781.1,WNK1,,,,,,,,,,,,,ENSMPUP00000017923,74.7,0.0,3320
XP_004773782.1,WNK1,,,,,,,,,,,,,ENSMPUP00000017923,74.6,0.0,3316
XP_004773785.1,FBXL14,ENSP00000344855,100,1.19e-169,488,,,,,,,,,ENSMPUP00000018259,100,2.72e-171,491
XP_004773786.1,WNT5B,,,,,,,,,,,,,ENSMPUP00000017940,100,2.44e-309,841
XP_004773787.1,WNT5B,,,,,ENSCAFP00000023434,96.6,5.94e-263,719,,,,,ENSMPUP00000017940,100,3.02e-270,740
XP_004773788.1,WNT5B,,,,,ENSCAFP00000023434,96.6,5.94e-263,719,,,,,ENSMPUP00000017940,100,3.02e-270,740
XP_004773789.1,ADIPOR2,,,,,ENSCAFP00000023440,97.9,2.17e-288,786,,,,,ENSMPUP00000017942,100,8.24e-295,802
XP_004773794.1,LRTM2,,,,,,,,,,,,,ENSMPUP00000017957,100,9.19e-195,548
XP_004773795.1,CACNA2D4,,,,,,,,,,,,,ENSMPUP00000017943,99.5,0.0,2243
XP_004773807.1,DCP1B,,,,,,,,,,,,,ENSMPUP00000017958,100,0.0,1189
XP_004773808.1,IL17RA,,,,,,,,,,,,,ENSMPUP00000017987,100,0.0,1762
XP_004773810.1,ADA2,,,,,,,,,,,,,ENSMPUP00000017989,100,0.0,1033
XP_004773811.1,ADA2,,,,,,,,,,,,,ENSMPUP00000017989,100,0.0,1029
XP_004773814.1,ATP6V1E1,,,,,,,,,,,,,ENSMPUP00000017997,100,8.58e-149,420
XP_004773816.1,BCL2L13,,,,,,,,,,,,,ENSMPUP00000018002,98.7,2.42e-299,821
XP_004773817.1,BCL2L13,,,,,,,,,,,,,ENSMPUP00000018002,100,2.83e-301,825
XP_004773818.1,BCL2L13,,,,,,,,,,,,,ENSMPUP00000018002,93.5,1.65e-276,761
XP_004773820.1,BCL2L13,,,,,,,,,,,,,ENSMPUP00000018002,97.0,4.07e-124,366
XP_004773824.1,BCL2L13,,,,,,,,,,,,,ENSMPUP00000018002,95.3,7.76e-71,226
XP_004773837.1,TUBA8,ENSP00000333326,99.1,0.0,904,ENSCAFP00000023932,99.8,0.0,905,ENSSSCP00000000821,99.3,0.0,904,ENSMPUP00000018005,100,0.0,907
XP_004773838.1,USP18,,,,,,,,,,,,,ENSMPUP00000018006,100,6.64e-263,724
XP_004773839.1,USP18,,,,,,,,,,,,,ENSMPUP00000018006,100,9.01e-275,754
XP_004773840.1,USP18,,,,,,,,,,,,,ENSMPUP00000018006,87.7,9.46e-217,606
XP_004773841.1,USP18,,,,,,,,,,,,,ENSMPUP00000018006,84.4,2.08e-210,589
XP_004773842.1,USP18,,,,,,,,,,,,,ENSMPUP00000018006,100,2.34e-210,588
XP_004773848.1,LOC101692796,,,,,,,,,,,,,ENSMPUP00000011240,100,2.63e-58,180
XP_004773849.1,LOC101692796,,,,,,,,,,,,,ENSMPUP00000011240,100,2.63e-58,180
XP_004773855.1,SLC5A2,,,,,ENSCAFP00000024893,94.7,0.0,1264,,,,,,,,
XP_004773856.1,SLC5A2,,,,,ENSCAFP00000024893,96.7,0.0,1151,,,,,,,,
XP_004773857.1,SLC5A2,,,,,ENSCAFP00000024893,97.9,0.0,928,,,,,,,,
XP_004773858.1,SLC5A2,,,,,ENSCAFP00000024893,97.9,0.0,928,,,,,,,,
XP_004773861.2,ARMC5,,,,,ENSCAFP00000024847,96.0,0.0,1449,,,,,,,,
XP_004773870.1,LOC101672794,,,,,,,,,,,,,ENSMPUP00000011331,100,1.80e-136,386
XP_004773875.1,FUS,,,,,,,,,,,,,ENSMPUP00000011334,99.2,3.79e-195,561
XP_004773876.1,FUS,,,,,,,,,,,,,ENSMPUP00000011334,95.3,1.82e-180,524
XP_004773878.2,PRSS8,,,,,ENSCAFP00000024791,87.0,1.58e-217,602,,,,,,,,
XP_004773882.1,BCKDK,ENSP00000378405,94.7,9.55e-285,779,ENSCAFP00000024747,95.9,6.80e-286,786,ENSSSCP00000008291,94.9,5.52e-284,777,ENSMPUP00000011449,100,5.62e-293,800
XP_004773883.1,BCKDK,ENSP00000378405,94.7,9.55e-285,779,ENSCAFP00000024747,95.9,6.80e-286,786,ENSSSCP00000008291,94.9,5.52e-284,777,ENSMPUP00000011449,100,5.62e-293,800
XP_004773884.1,ZNF668,,,,,,,,,,,,,ENSMPUP00000011563,100,1.07e-120,379
XP_004773885.1,ZNF668,,,,,,,,,,,,,ENSMPUP00000011563,100,1.07e-120,379
XP_004773886.1,ZNF668,,,,,,,,,,,,,ENSMPUP00000011563,100,1.07e-120,379
XP_004773887.1,ZNF646,,,,,,,,,,,,,ENSMPUP00000011559,100,0.0,3157
XP_004773891.2,PRSS53,,,,,,,,,,,,,ENSMPUP00000011529,92.6,0.0,1110
XP_004773892.2,PRSS53,,,,,,,,,,,,,ENSMPUP00000011529,91.5,0.0,1092
XP_004773893.2,PRSS53,,,,,,,,,,,,,ENSMPUP00000011529,99.8,0.0,1132
XP_004773896.1,STX4,,,,,ENSCAFP00000024687,97.3,2.70e-185,518,,,,,ENSMPUP00000011576,100,4.39e-191,533
XP_004773897.1,HSD3B7,,,,,,,,,,,,,ENSMPUP00000011721,99.2,1.31e-270,740
XP_004773901.1,FBXL19,ENSP00000369666,99.4,0.0,1319,ENSCAFP00000024610,97.7,0.0,1293,ENSSSCP00000026270,98.7,0.0,1310,ENSMPUP00000011876,100,0.0,1312
XP_004773902.1,FBXL19,ENSP00000369666,98.8,0.0,1336,ENSCAFP00000024610,97.8,0.0,1316,ENSSSCP00000026270,98.6,0.0,1331,ENSMPUP00000011876,100,0.0,1312
XP_004773910.1,ZNF629,,,,,,,,,,,,,ENSMPUP00000011923,100,0.0,914
XP_004773913.1,PHKG2,,,,,ENSCAFP00000024512,98.3,8.06e-299,814,,,,,ENSMPUP00000012044,100,4.34e-303,825
XP_004773917.1,CFAP119,,,,,,,,,,,,,ENSMPUP00000012033,100,7.40e-230,634
XP_004773919.2,RNF40,,,,,ENSCAFP00000024560,95.6,0.0,1625,,,,,ENSMPUP00000011924,100,0.0,1657
XP_004773924.1,LOC101685489,,,,,,,,,,,,,ENSMPUP00000012074,99.3,0.0,4705
XP_004773928.1,PRR14,,,,,,,,,,,,,ENSMPUP00000012161,100,0.0,1027
XP_004773929.1,PRR14,,,,,,,,,,,,,ENSMPUP00000012161,100,0.0,1027
XP_004773932.1,LOC101688065,,,,,,,,,,,,,ENSMPUP00000012209,100,4.68e-196,543
XP_004773934.1,ITGAL,,,,,,,,,,,,,ENSMPUP00000012211,99.9,0.0,2316
XP_004773935.1,ITGAL,,,,,,,,,,,,,ENSMPUP00000012211,100,0.0,2321
XP_004773937.2,SEPHS2,ENSP00000418669,87.2,4.06e-272,752,,,,,,,,,,,,
XP_004773940.1,DCTPP1,,,,,,,,,,,,,ENSMPUP00000012226,100,3.59e-118,338
XP_004773946.1,SEPTIN1,ENSP00000324511,96.8,1.05e-240,666,ENSCAFP00000024388,98.2,2.24e-242,668,ENSSSCP00000008329,97.9,1.24e-241,666,,,,
XP_004773948.2,MYLPF,,,,,ENSCAFP00000024333,98.8,3.59e-118,338,,,,,ENSMPUP00000012276,100,2.16e-119,341
XP_004773950.1,CD2BP2,,,,,,,,,,,,,ENSMPUP00000012299,100,6.95e-242,665
XP_004773952.1,CUNH16orf54,,,,,,,,,,,,,ENSMPUP00000019889,100,1.05e-160,450
XP_004773954.3,ZG16,,,,,,,,,,,,,ENSMPUP00000012352,100,2.74e-117,336
XP_004773955.1,KIF22,,,,,,,,,,,,,ENSMPUP00000012356,95.9,0.0,1233
XP_004773956.1,KIF22,,,,,,,,,,,,,ENSMPUP00000012356,100,0.0,1249
XP_004773960.1,PRRT2,,,,,,,,,,,,,ENSMPUP00000012361,100,1.04e-185,523
XP_004773962.2,LOC101671020,,,,,,,,,,,,,ENSMPUP00000012368,100,0.0,1635
XP_004773963.2,LOC101671020,,,,,,,,,,,,,ENSMPUP00000012368,100,0.0,1635
XP_004773965.1,PAGR1,,,,,ENSCAFP00000024976,90.6,1.80e-141,404,,,,,,,,
XP_004773966.1,PAGR1,,,,,ENSCAFP00000024976,90.6,1.80e-141,404,,,,,,,,
XP_004773969.1,ASPHD1,,,,,,,,,,,,,ENSMPUP00000012401,100,1.91e-278,760
XP_004773980.1,CDIPT,,,,,ENSCAFP00000042907,96.7,3.20e-142,407,,,,,ENSMPUP00000012372,100,5.26e-148,417
XP_004773981.1,TMEM219,,,,,,,,,,,,,ENSMPUP00000012410,100,9.11e-173,483
XP_004773982.2,TMEM219,,,,,,,,,,,,,ENSMPUP00000012410,100,1.76e-173,483
XP_004773983.1,TMEM219,,,,,,,,,,,,,ENSMPUP00000012410,100,1.76e-173,483
XP_004773985.1,TAOK2,,,,,ENSCAFP00000025096,93.9,0.0,2114,,,,,,,,
XP_004773986.1,TAOK2,,,,,ENSCAFP00000025096,94.7,0.0,2122,,,,,,,,
XP_004773987.1,TAOK2,,,,,,,,,,,,,ENSMPUP00000012418,99.1,0.0,1865
XP_004773988.1,TAOK2,,,,,,,,,,,,,ENSMPUP00000012418,100,0.0,1873
XP_004773991.1,DOC2A,,,,,,,,,,,,,ENSMPUP00000012449,100,5.13e-307,836
XP_004773992.1,INO80E,,,,,ENSCAFP00000025129,99.2,2.66e-145,412,,,,,ENSMPUP00000012432,100,7.96e-147,416
XP_004773994.1,INO80E,,,,,ENSCAFP00000025129,99.4,4.59e-89,269,,,,,ENSMPUP00000012432,100,7.98e-90,271
XP_004773995.1,INO80E,,,,,ENSCAFP00000025129,99.4,4.59e-89,269,,,,,ENSMPUP00000012432,100,7.98e-90,271
XP_004773996.1,INO80E,,,,,ENSCAFP00000025129,83.2,5.70e-109,319,,,,,ENSMPUP00000012432,84.0,1.71e-110,323
XP_004773997.1,ALDOA,,,,,ENSCAFP00000031554,97.4,1.68e-289,803,,,,,,,,
XP_004773998.1,ALDOA,ENSP00000378669,98.9,1.25e-262,721,ENSCAFP00000031554,99.7,4.24e-259,724,,,,,ENSMPUP00000012469,100,3.46e-265,726
XP_004773999.1,ALDOA,ENSP00000378669,98.9,1.25e-262,721,ENSCAFP00000031554,99.7,4.24e-259,724,,,,,ENSMPUP00000012469,100,3.46e-265,726
XP_004774002.1,TLCD3B,,,,,,,,,,,,,ENSMPUP00000012456,100,3.21e-207,572
XP_004774004.1,CUNH16orf92,,,,,,,,,,,,,ENSMPUP00000012461,100,1.43e-58,184
XP_004774012.1,YPEL3,ENSP00000381821,100,1.04e-87,258,ENSCAFP00000030496,100,2.89e-88,258,,,,,ENSMPUP00000012501,100,1.04e-87,258
XP_004774014.1,GDPD3,,,,,,,,,,,,,ENSMPUP00000012514,100,8.47e-238,659
XP_004774018.1,SGF29,ENSP00000316114,99.0,2.62e-206,571,,,,,,,,,ENSMPUP00000012575,100,1.11e-207,574
XP_004774019.1,SGF29,ENSP00000316114,99.0,2.62e-206,571,,,,,,,,,ENSMPUP00000012575,100,1.11e-207,574
XP_004774020.1,SGF29,ENSP00000316114,99.0,2.62e-206,571,,,,,,,,,ENSMPUP00000012575,100,1.11e-207,574
XP_004774021.1,LOC101685490,,,,,,,,,,,,,ENSMPUP00000012572,100,2.37e-219,604
XP_004774024.1,CLN3,,,,,,,,,,,,,ENSMPUP00000012633,100,8.98e-310,845
XP_004774025.1,IL27,,,,,,,,,,,,,ENSMPUP00000012625,100,2.91e-166,465
XP_004774027.1,IL27,,,,,,,,,,,,,ENSMPUP00000012625,96.6,1.46e-157,442
XP_004774033.1,RABEP2,,,,,ENSCAFP00000025487,94.5,0.0,913,,,,,,,,
XP_004774037.1,SH2B1,,,,,,,,,,,,,ENSMPUP00000012726,99.6,0.0,1213
XP_004774038.1,SH2B1,,,,,,,,,,,,,ENSMPUP00000012726,99.6,0.0,1213
XP_004774044.1,CD19,,,,,,,,,,,,,ENSMPUP00000012775,98.6,0.0,1043
XP_004774045.1,CD19,,,,,,,,,,,,,ENSMPUP00000012775,98.8,0.0,1049
XP_004774046.1,CD19,,,,,,,,,,,,,ENSMPUP00000012775,99.8,0.0,1051
XP_004774048.1,CD19,,,,,,,,,,,,,ENSMPUP00000012775,98.4,0.0,915
XP_004774054.1,SPNS1,,,,,ENSCAFP00000025517,97.5,0.0,979,ENSSSCP00000008338,94.1,0.0,972,ENSMPUP00000012784,100,0.0,972
XP_004774060.1,XPO6,ENSP00000302790,97.2,0.0,2122,ENSCAFP00000025592,98.1,0.0,2138,ENSSSCP00000008341,97.7,0.0,2131,ENSMPUP00000012821,99.9,0.0,2166
XP_004774063.1,GTF3C1,,,,,,,,,,,,,ENSMPUP00000012839,100,0.0,4171
XP_004774064.1,GTF3C1,,,,,,,,,,,,,ENSMPUP00000012839,100,0.0,4174
XP_004774066.1,GTF3C1,,,,,,,,,,,,,ENSMPUP00000012839,98.2,0.0,4073
XP_004774070.1,IL4R,,,,,,,,,,,,,ENSMPUP00000012883,100,0.0,1617
XP_004774072.1,NSMCE1,,,,,ENSCAFP00000025739,97.5,8.40e-198,548,,,,,ENSMPUP00000012886,100,1.58e-202,560
XP_004774075.1,KDM8,,,,,,,,,,,,,ENSMPUP00000012892,100,1.66e-310,844
XP_004774085.3,BCL7C,,,,,,,,,ENSSSCP00000008304,93.1,5.32e-134,382,ENSMPUP00000011896,99.5,3.91e-136,387
XP_004774090.2,TBC1D10B,,,,,,,,,,,,,ENSMPUP00000012241,99.0,0.0,1082
XP_004774094.2,MAPK3,,,,,,,,,,,,,ENSMPUP00000012543,100,9.21e-262,719
XP_004774110.1,ATP6V1G1,ENSP00000363162,98.3,1.80e-59,185,,,,,,,,,ENSMPUP00000001637,100,2.67e-61,190
XP_004774112.1,TMEM268,,,,,,,,,,,,,ENSMPUP00000001660,100,4.97e-248,681
XP_004774114.1,TNFSF15,,,,,,,,,,,,,ENSMPUP00000001661,100,2.06e-184,512
XP_004774115.1,TNFSF8,,,,,,,,,,,,,ENSMPUP00000001666,100,3.41e-168,469
XP_004774116.1,TNC,,,,,ENSCAFP00000036170,90.8,0.0,3310,,,,,ENSMPUP00000001671,96.0,0.0,3372
XP_004774117.1,TNC,,,,,ENSCAFP00000036170,87.3,0.0,3115,,,,,ENSMPUP00000001671,92.1,0.0,3153
XP_004774119.1,TNC,,,,,,,,,,,,,ENSMPUP00000001671,95.8,0.0,3190
XP_004774121.1,TRIM32,,,,,,,,,,,,,ENSMPUP00000018611,100,0.0,1333
XP_004774122.1,TRIM32,,,,,,,,,,,,,ENSMPUP00000018611,100,0.0,1333
XP_004774125.1,TLR4,,,,,,,,,,,,,ENSMPUP00000001697,100,0.0,1446
XP_004774128.2,PAPPA,ENSP00000330658,92.5,0.0,3147,,,,,ENSSSCP00000005893,95.0,0.0,3208,,,,
XP_004774129.1,IDNK,,,,,,,,,,,,,ENSMPUP00000002005,100,7.10e-130,369
XP_004774130.1,IDNK,,,,,,,,,,,,,ENSMPUP00000002005,100,5.80e-97,283
XP_004774132.1,IDNK,,,,,,,,,,,,,ENSMPUP00000002005,100,5.80e-97,283
XP_004774133.1,UBQLN1,,,,,ENSCAFP00000002072,97.8,2.30e-301,836,,,,,ENSMPUP00000002007,100,9.25e-306,847
XP_004774134.1,UBQLN1,,,,,ENSCAFP00000002072,90.7,2.77e-264,741,,,,,ENSMPUP00000002007,92.9,1.13e-268,752
XP_004774137.2,GKAP1,,,,,ENSCAFP00000002053,97.3,2.37e-194,546,,,,,,,,
XP_004774138.1,GKAP1,,,,,ENSCAFP00000002053,97.3,2.37e-194,546,,,,,,,,
XP_004774142.1,CUNH9orf64,,,,,,,,,,,,,ENSMPUP00000002036,100,2.30e-256,701
XP_004774144.1,HNRNPK,ENSP00000365439,100,0.0,893,,,,,,,,,ENSMPUP00000002038,99.8,0.0,882
XP_004774145.1,HNRNPK,ENSP00000365439,100,0.0,893,,,,,,,,,ENSMPUP00000002038,99.8,0.0,882
XP_004774146.1,HNRNPK,ENSP00000365439,100,0.0,893,,,,,,,,,ENSMPUP00000002038,99.8,0.0,882
XP_004774147.1,HNRNPK,ENSP00000365439,99.8,0.0,882,,,,,,,,,ENSMPUP00000002038,100,0.0,892
XP_004774154.1,RMI1,,,,,,,,,,,,,ENSMPUP00000002150,100,0.0,1090
XP_004774156.2,SLC28A3,,,,,,,,,,,,,ENSMPUP00000002152,99.9,0.0,1375
XP_004774159.1,NTRK2,ENSP00000277120,96.1,0.0,1634,ENSCAFP00000001979,99.6,0.0,1665,,,,,,,,
XP_004774161.1,NTRK2,ENSP00000277120,93.8,0.0,1025,ENSCAFP00000001979,99.2,0.0,1056,,,,,,,,
XP_004774162.1,NAA35,,,,,ENSCAFP00000001931,99.9,0.0,1428,,,,,ENSMPUP00000002161,100,0.0,1428
XP_004774163.1,NAA35,ENSP00000354972,99.4,0.0,1419,ENSCAFP00000001931,99.9,0.0,1425,,,,,ENSMPUP00000002161,100,0.0,1427
XP_004774164.1,NAA35,ENSP00000354972,99.4,0.0,1419,ENSCAFP00000001931,99.9,0.0,1425,,,,,ENSMPUP00000002161,100,0.0,1427
XP_004774167.2,GOLM1,,,,,,,,,,,,,ENSMPUP00000002164,100,2.33e-266,732
XP_004774173.3,ISCA1,ENSP00000365159,98.4,3.40e-85,251,ENSCAFP00000001921,100,4.35e-85,253,ENSSSCP00000011680,99.2,9.51e-85,251,ENSMPUP00000002167,100,8.82e-85,253
XP_004774186.2,TUT7,,,,,,,,,,,,,ENSMPUP00000002169,100,0.0,2849
XP_004774189.1,DAPK1,,,,,ENSCAFP00000001889,99.1,0.0,2276,,,,,ENSMPUP00000002174,100,0.0,2297
XP_004774190.1,DAPK1,,,,,ENSCAFP00000001889,99.1,0.0,2276,,,,,ENSMPUP00000002174,100,0.0,2297
XP_004774191.1,DAPK1,,,,,ENSCAFP00000001889,99.1,0.0,2276,,,,,ENSMPUP00000002174,100,0.0,2297
XP_004774197.2,AGBL1,,,,,,,,,,,,,ENSMPUP00000017450,99.9,0.0,2055
XP_004774202.3,FAM174B,,,,,ENSCAFP00000043169,98.9,9.72e-49,164,ENSSSCP00000002460,100,5.46e-50,164,,,,
XP_004774204.1,RGMA,,,,,,,,,,,,,ENSMPUP00000017465,100,0.0,917
